__________,0998,0,5000
__________,0014,0,1000
__________,2778,0,6000
__________,3336,0,10000
__________,1426,0,8000
__________,1359,0,9000
__________,0435,0,5000
__________,1988,0,3000
__________,2380,0,8000
__________,1023,0,11000
__________,0808,0,4000
__________,0319,,8000
2017-04-18,0319,2.39,-2000
2017-04-18,0319,2.36,-6000
2017-04-20,0998,4.95,5000
2017-04-20,0133,11.42,2000
2017-04-21,0778,9.00,2000
2017-04-24,2380,2.88,-8000
2017-04-25,2778,5.01,-6000
2017-04-27,1426,3.23,7000
2017-05-08,0017,9.47,2000
